2024-06-03 19:59:01,998 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_45 @time=258.000,000,000 s
2024-06-03 19:59:01,998 INFO  SnsAmbassador - Added Vehicle id=veh_47 position=GeoPoint{lat=41.554126,lon=-8.429684,alt=0.00} @time=258.000,000,000 s
2024-06-03 19:59:01,998 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_47 @time=258.000,000,000 s
2024-06-03 19:59:02,411 INFO  SnsAmbassador - Added Vehicle id=veh_48 position=GeoPoint{lat=41.554109,lon=-8.432082,alt=0.00} @time=294.000,000,000 s
2024-06-03 19:59:02,411 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_48 @time=294.000,000,000 s
2024-06-03 19:59:02,411 INFO  SnsAmbassador - Added Vehicle id=veh_53 position=GeoPoint{lat=41.554126,lon=-8.429684,alt=0.00} @time=294.000,000,000 s
2024-06-03 19:59:02,412 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_53 @time=294.000,000,000 s
2024-06-03 19:59:02,930 INFO  SnsAmbassador - Added Vehicle id=veh_54 position=GeoPoint{lat=41.554109,lon=-8.432082,alt=0.00} @time=330.000,000,000 s
2024-06-03 19:59:02,930 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_54 @time=330.000,000,000 s
2024-06-03 19:59:02,930 INFO  SnsAmbassador - Added Vehicle id=veh_59 position=GeoPoint{lat=41.554126,lon=-8.429684,alt=0.00} @time=330.000,000,000 s
2024-06-03 19:59:02,930 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_59 @time=330.000,000,000 s
2024-06-03 19:59:03,324 INFO  SnsAmbassador - Added Vehicle id=veh_63 position=GeoPoint{lat=41.554126,lon=-8.429684,alt=0.00} @time=366.000,000,000 s
2024-06-03 19:59:03,324 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_63 @time=366.000,000,000 s
2024-06-03 19:59:03,810 INFO  SnsAmbassador - Added Vehicle id=veh_67 position=GeoPoint{lat=41.554126,lon=-8.429684,alt=0.00} @time=402.000,000,000 s
2024-06-03 19:59:03,811 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_67 @time=402.000,000,000 s
2024-06-03 19:59:04,220 INFO  SnsAmbassador - Added Vehicle id=veh_71 position=GeoPoint{lat=41.554126,lon=-8.429684,alt=0.00} @time=438.000,000,000 s
2024-06-03 19:59:04,220 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_71 @time=438.000,000,000 s
